"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что запрос без обязательного поля возвращает ошибку 400.","403","test_create_courier_without_login","test_courier","Thu May 08 17:24:10 MSK 2025","passed","Thu May 08 17:24:10 MSK 2025","","test_create_courier","",""
"","1879","тест на получение списка заказов","test_order","Thu May 08 17:24:12 MSK 2025","passed","Thu May 08 17:24:14 MSK 2025","TestOrdersList","test_order_list","",""
"Тест проверяет, что нельзя создать двух курьеров с одинаковыми данными. Также проверка на то что если создать пользователя с логином, который уже есть, возвращается ошибка.","1244","test_create_duplicate_courier","test_courier","Thu May 08 17:24:08 MSK 2025","passed","Thu May 08 17:24:09 MSK 2025","","test_create_courier","",""
"","460","Проверяем создание заказа с разными цветами и что тело ответа содержит track","test_order","Thu May 08 17:24:10 MSK 2025","passed","Thu May 08 17:24:10 MSK 2025","TestCreateOrder","test_order_create","",""
"Тест проверяет авторизацию без поля 'password'","61276","test_courier_login_missing_password","test_courier","Thu May 08 17:23:04 MSK 2025","failed","Thu May 08 17:24:05 MSK 2025","","test_courier_login","",""
"Тест проверяет авторизацию без поля 'login'","1273","test_courier_login_missing_login","test_courier","Thu May 08 17:23:02 MSK 2025","passed","Thu May 08 17:23:04 MSK 2025","","test_courier_login","",""
"","411","Проверяем создание заказа с разными цветами и что тело ответа содержит track","test_order","Thu May 08 17:24:11 MSK 2025","passed","Thu May 08 17:24:11 MSK 2025","TestCreateOrder","test_order_create","",""
"Тест проверяет авторизацию с неверным логином и паролем","453","test_courier_login_invalid_credentials","test_courier","Thu May 08 17:24:06 MSK 2025","passed","Thu May 08 17:24:07 MSK 2025","","test_courier_login","",""
"Тест проверяет, что курьер успешно создаётся и возвращает правильный код ответа и тело ответа. Все обязательные поля переданы. ","866","test_create_courier_success","test_courier","Thu May 08 17:24:07 MSK 2025","passed","Thu May 08 17:24:07 MSK 2025","","test_create_courier","",""
"","435","Проверяем создание заказа с разными цветами и что тело ответа содержит track","test_order","Thu May 08 17:24:10 MSK 2025","passed","Thu May 08 17:24:11 MSK 2025","TestCreateOrder","test_order_create","",""
"","421","Проверяем создание заказа с разными цветами и что тело ответа содержит track","test_order","Thu May 08 17:24:11 MSK 2025","passed","Thu May 08 17:24:12 MSK 2025","TestCreateOrder","test_order_create","",""
"Тест проверяет успешную авторизацию курьера","1779","test_courier_login_success","test_courier","Thu May 08 17:23:00 MSK 2025","passed","Thu May 08 17:23:02 MSK 2025","","test_courier_login","",""
